Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
694,0.0,80225.48,140,5.298611111111111,12,ASD-COC-GFL003-AHU119,30.08,DAMAGED,80207.27040000018,27.0,NOT WORKING,80225.48
136,0.0,0.0,8,7.481481481481482,5,ASD-COC-GFL003-AHU120,40.82,DIRTY,0.0,23.0,DIRTY,0.0
291,0.0,240.0,13,14.977272727272728,11,LSD-TXP-GFL26A-AHU201,44.71,DAMAGED,240.0,0.0,DAMAGED,240.0
331,0.0,0.0,12,42.5,12,ASD-COC-TFL008-AHU167,46.99,DAMAGED,0.0,181.0,NO CONNECTION,0.0
219,0.0,3796.68,22,12.305555555555555,4,ASD-MTB-GFL07A-AHU177,35.03,DIRTY,3796.400699999996,47.0,DIRTY,3796.68
35,0.0,0.0,6,11.5625,2,LSD-VCN-FFL-AHU199,87.75,DAMAGED,0.0,37.0,DAMAGED,0.0
104,0.0,3816.72,14,12.78125,4,ASD-MTB-GFL009-AHU007,69.1,DIRTY,3816.719999999992,72.0,NOT WORKING,3816.72
579,0.0,48256.28,67,9.743589743589745,8,ASD-COB-GFL018-AHU084,35.38,DIRTY,48180.59620000001,0.0,DIRTY,48256.28
256,0.0,1829.12,12,29.27777777777778,12,ASD-COA-BAS004-AHU182,37.3,WARNING,1828.9971999999973,35.0,DIRTY,1829.12
17,0.0,8852.039999999999,13,13.37037037037037,2,ASD-MTB-FOF021-AHU050,32.81,DIRTY,8855.011900000001,0.0,DIRTY,8852.039999999999
41,0.0,1310.04,14,5.768115942028985,3,ASD-COC-GFL008-AHU116,54.99,DAMAGED,1310.1226999999972,2.0,DAMAGED,1310.04
284,0.0,27532.16,52,8.594594594594595,10,ASD-MTB-FOF009-AHU015,47.28,DIRTY,27542.078599999964,0.0,DIRTY,27532.16
284,0.0,27677.12,53,8.594594594594595,10,ASD-MTB-FOF009-AHU015,69.79,DIRTY,27685.398099999973,0.0,DIRTY,27677.12
320,0.0,1497.72,18,13.148148148148149,12,ASD-COC-GFL005-AHU114,37.58,DIRTY,1498.2162000000012,67.0,DAMAGED,1497.72
306,0.0,1172.4,18,20.61111111111111,1,ASD-COC-TFL008-AHU152,60.09,DAMAGED,1172.3669999999981,69.0,DAMAGED,1172.4
19,0.0,0.0,4,23.607142857142858,1,ASD-COC-TFL005-AHU162,59.16,DAMAGED,0.0,31.0,DIRTY,0.0
107,0.0,1315.08,6,29.27777777777778,7,ASD-COA-BAS004-AHU182,37.23,DIRTY,1315.704700000002,0.0,NOISY,1315.08
182,0.0,260.8,16,26.35,8,ASD-COA-APR-AHU077,83.16,NOT WORKING,260.79999999999956,35.0,NOT WORKING,260.8
476,0.0,2317.44,20,24.892857142857142,5,ASD-COC-TFL001-AHU130,31.74,DAMAGED,2317.584400000001,104.0,DAMAGED,2317.44
269,0.0,1253.4,14,13.148148148148149,11,ASD-COC-GFL005-AHU114,38.25,DIRTY,1255.742400000001,0.0,DIRTY,1253.4
362,0.0,22436.32,44,8.63953488372093,1,ASD-COC-GFL008-AHU115,47.57,DIRTY,22435.507400000002,56.0,DAMAGED,22436.32
332,0.0,10734.84,52,8.053191489361701,12,ASD-COA-GFL003-AHU068,65.97,DAMAGED,10734.839999999991,24.0,LEAKAGE,10734.84
467,0.0,2116.96,22,26.75,8,ASD-COC-TFL004-AHU161,38.0,DAMAGED,2116.9599999999987,97.0,DAMAGED,2116.96
498,0.0,2603.04,30,21.08823529411765,5,ASD-COC-GFL004-AHU105,49.26,DAMAGED,2603.0214000000024,32.0,DAMAGED,2603.04
50,0.0,782.4,6,29.57692307692308,3,ASD-COC-GFL005-AHU106,54.77,DIRTY,782.0945999999998,120.0,DIRTY,782.4
280,0.0,1517.92,26,11.838235294117649,11,ASD-COC-TFL001-AHU128,45.95,DIRTY,1517.6424000000002,58.0,DIRTY,1517.92
20,0.0,823.84,6,37.92857142857143,3,ASD-COC-TFL003-AHU159,43.89,DIRTY,823.8323999999992,250.0,DIRTY,823.84
312,0.0,36026.48,54,7.819148936170213,11,ASD-MTB-FOF010-AHU036,41.18,WARNING,36018.773200000025,0.0,WARNING,36026.48
442,0.0,782.4,22,17.522727272727273,3,ASD-COC-GFL002-AHU101,45.39,DAMAGED,782.4381999999999,34.0,DAMAGED,782.4
343,0.0,19136.8,52,5.202702702702703,1,ASD-COA-GFL003-AHU184,32.56,DIRTY,19136.800000000032,4.0,DIRTY,19136.8
59,0.0,0.0,8,9.657142857142857,3,ASD-COA-GFL004-AHU063,61.9,DIRTY,0.0,4.0,NOT WORKING,0.0
125,0.0,8999.4,18,14.78,6,ASD-MTB-FOF009-AHU021,43.03,NOT WORKING,8999.362500000012,69.0,NOT WORKING,8999.4
444,0.0,1718.28,24,11.10344827586207,4,ASD-COC-TFL006-AHU148,39.94,DIRTY,1718.5299999999988,89.0,DIRTY,1718.28
138,0.0,0.0,6,13.357142857142858,6,ASD-MTB-FOF06A-AHU173,39.84,DAMAGED,0.0,47.0,DIRTY,0.0
26,0.0,13581.41,12,11.452380952380953,2,ASD-MTB-FOF008-AHU028,32.2,DIRTY,13582.753799999995,0.0,DIRTY,13581.41
12,0.0,0.0,4,16.55263157894737,2,LSD-PMS-BUI-AHU203,51.63,DIRTY,0.0,81.0,DAMAGED,0.0
355,0.0,5485.8,28,10.84722222222222,1,ASD-COB-GFL018-AHU090,32.37,DIRTY,5485.813599999994,23.0,DIRTY,5485.8
0,0.0,801.0400000000001,4,29.27777777777778,4,ASD-COA-BAS004-AHU182,49.17,DIRTY,801.0218999999998,107.0,DAMAGED,801.0400000000001
169,0.0,501.92,10,22.6,8,ASD-COC-TFL002-AHU131,38.43,DIRTY,502.0991999999991,120.0,DIRTY,501.92
92,0.0,1564.8,10,11.181818181818182,4,ASD-COC-GFL003-AHU102,68.5,DIRTY,1564.5553999999997,1.0,DIRTY,1564.8
413,0.0,4335.52,30,15.5,2,ASD-COC-TFL002-AHU134,45.75,NOISY,4333.2328000000025,0.0,NOISY,4335.52
487,0.0,1276.0,20,22.25,12,ASD-COC-TFL008-AHU166,32.64,DIRTY,1275.5150999999992,38.0,NOT WORKING,1276.0
95,0.0,0.0,8,23.607142857142858,4,ASD-COC-TFL005-AHU162,72.62,DAMAGED,0.0,235.0,DAMAGED,0.0
170,0.0,24582.12,46,4.128865979381444,6,ASD-MTB-FOF021-AHU054,33.35,WARNING,24585.416800000057,31.0,WARNING,24582.12
330,0.0,5245.36,22,15.826086956521738,12,ASD-COC-GFL006-AHU109,31.59,DIRTY,5245.35999999999,63.0,DAMAGED,5245.36
380,0.0,16514.55,49,6.953703703703703,1,ASD-MTB-FOF011-AHU037,35.9,WARNING,16518.595899999993,0.0,WARNING,16514.55
128,0.0,3796.68,20,12.305555555555555,1,ASD-MTB-GFL07A-AHU177,64.88,DIRTY,3796.4418999999966,91.0,DIRTY,3796.68
57,0.0,0.0,8,6.344262295081967,3,ASD-COC-GFL002-AHU117,54.04,DIRTY,0.0,105.0,DIRTY,0.0
356,0.0,5263.04,25,15.958333333333334,1,ASD-COC-GFL004-AHU104,72.9,DIRTY,5261.690699999999,0.0,DIRTY,5263.04
178,0.0,1449.6,14,19.384615384615383,7,ASD-COC-TFL008-AHU154,48.83,WARNING,1449.277600000002,53.0,WARNING,1449.6
367,0.0,5115.78,52,7.888888888888889,1,ASD-COA-GFL002-AHU067,39.74,DIRTY,5115.728200000013,103.0,DIRTY,5115.78
142,0.0,1201.56,18,9.657142857142857,5,ASD-COA-GFL004-AHU063,34.64,DAMAGED,1201.5845999999988,16.0,LEAKAGE,1201.56
429,0.0,5474.72,30,15.958333333333334,3,ASD-COC-GFL004-AHU104,48.54,DAMAGED,5474.726199999986,48.0,DAMAGED,5474.72
321,0.0,1655.6799999999998,20,20.25,11,ASD-COC-TFL006-AHU147,47.82,DAMAGED,1655.3549999999968,5.0,DAMAGED,1655.6799999999998
0,0.0,1043.2,2,16.416666666666668,3,ASD-COC-GFL008-AHU125,49.46,DIRTY,1042.359499999999,36.0,DIRTY,1043.2
47,0.0,1069.36,10,9.90277777777778,2,ASD-MTB-FOF024-AHU196,34.56,DIRTY,1070.5318000000009,11.0,NOT WORKING,1069.36
354,0.0,3554.08,22,15.958333333333334,1,ASD-COC-GFL004-AHU104,72.91,DIRTY,3554.1038000000017,1.0,DAMAGED,3554.08
356,0.0,5474.72,26,15.958333333333334,1,ASD-COC-GFL004-AHU104,73.26,DIRTY,5474.825399999991,2.0,DIRTY,5474.72
480,0.0,455.48,20,27.318181818181817,5,ASD-COC-TFL003-AHU138,72.05,DAMAGED,455.48000000000064,19.0,DAMAGED,455.48
238,0.0,0.0,6,31.0,9,ASD-COC-TFL003-AHU158,78.59,NOT WORKING,0.0,77.0,DAMAGED,0.0
270,0.0,3583.6800000000003,12,16.416666666666668,12,ASD-COC-GFL008-AHU125,42.56,DIRTY,3583.8567999999946,23.0,DAMAGED,3583.6800000000003
391,0.0,10198.44,36,9.86904761904762,1,ASD-COC-GFL004-AHU121,43.6,NOT WORKING,10197.531899999978,55.0,DAMAGED,10198.44
701,0.0,1920.64,34,20.83333333333333,12,ASD-COC-GFL002-AHU100,45.56,LEAKAGE,1920.640000000004,15.0,DAMAGED,1920.64
20,0.0,0.0,4,20.36842105263158,3,ASD-COC-GFL001-AHU098,62.67,DAMAGED,0.0,252.0,DAMAGED,0.0
548,0.0,1607.88,25,21.571428571428573,8,ASD-COC-TFL005-AHU143,33.08,DIRTY,1607.3707000000013,0.0,DIRTY,1607.88
391,0.0,687.36,16,16.625,4,LSD-BSP-GFL23A-AHU200,43.92,DIRTY,687.0344000000001,18.0,DIRTY,687.36
682,0.0,1566.24,32,24.0,12,ASD-COC-TFL002-AHU132,45.43,DAMAGED,1566.9403999999981,90.0,DAMAGED,1566.24
245,0.0,976.96,10,27.821428571428573,9,ASD-COC-TFL001-AHU155,33.19,NOT WORKING,976.6960000000015,43.0,NOT WORKING,976.96
122,0.0,0.0,6,7.149122807017544,5,ASD-COC-GFL002-AHU118,36.65,DIRTY,0.0,38.0,DIRTY,0.0
380,0.0,19738.98,46,8.763157894736842,2,ASD-MTB-FOF010-AHU058,38.74,DIRTY,19738.205399999995,83.0,DIRTY,19738.98
233,0.0,375.66,10,15.875,12,ASD-MTB-GFL022-AHU010,42.09,DIRTY,375.6708000000003,92.0,DAMAGED,375.66
82,0.0,3796.68,16,12.305555555555555,11,ASD-MTB-GFL07A-AHU177,56.93,DAMAGED,3796.5200999999947,3.0,NOT WORKING,3796.68
197,0.0,410.08,6,24.892857142857142,7,ASD-COC-TFL001-AHU130,84.31,DAMAGED,410.8244,51.0,DIRTY,410.08
26,0.0,14322.32,14,11.452380952380953,2,ASD-MTB-FOF008-AHU028,41.27,DIRTY,14321.698600000005,6.0,DIRTY,14322.32
86,0.0,1201.56,14,9.657142857142857,3,ASD-COA-GFL004-AHU063,30.3,DIRTY,1201.600999999999,20.0,DIRTY,1201.56
245,0.0,0.0,18,19.964285714285715,11,ASD-COB-APR-AHU094,57.96,NOT WORKING,0.0,64.0,NOT WORKING,0.0
218,0.0,2116.96,12,26.75,12,ASD-COC-TFL004-AHU161,35.11,DAMAGED,2116.9779999999987,39.0,DAMAGED,2116.96
42,0.0,0.0,6,17.522727272727273,2,ASD-COC-GFL002-AHU101,70.91,DAMAGED,0.0,34.0,DAMAGED,0.0
413,0.0,4495.52,31,15.5,2,ASD-COC-TFL002-AHU134,41.22,NOISY,4496.670799999995,0.0,NOISY,4495.52
541,0.0,5799.0,22,24.40909090909091,7,ASD-COB-GFL017-AHU079,33.67,DAMAGED,5798.86,0.0,NOT WORKING,5799.0
307,0.0,1718.28,20,11.10344827586207,11,ASD-COC-TFL006-AHU148,69.53,DAMAGED,1718.608799999999,8.0,DIRTY,1718.28
