Asset Age,Time Since Last Maintenance,Total Spare Parts Cost,Failure Count,Avg Time Between Maintenance,Month,Asset Number,Predicted Time to Next Failure,Predicted Failure Type,Predicted Cost,Actual Time to Next Failure,Actual Failure Type,Actual Cost
450,0.0,54311.03,79,4.746753246753247,5,ASD-MTB-GFL06A-AHU169,1.39,NOT WORKING,54281.14100000003,0.0,NOT WORKING,54311.03
45,35.0,0.0,5,8.7,3,ASD-MTB-GFL06A-AHU168,0.0,DIRTY,0.0,0.0,DIRTY,0.0
750,1.0,78570.09999999999,167,4.128865979381444,1,ASD-MTB-FOF021-AHU054,0.0,NOT WORKING,78566.21169999985,0.0,NOT WORKING,78570.09999999999
58,0.0,15585.56,25,4.9125,3,ASD-MTB-FOF008-AHU030,8.14,DIRTY,15590.641200000011,0.0,DIRTY,15585.56
524,0.0,31706.36,92,5.551724137931035,6,ASD-MTB-FOF021-AHU056,2.89,WARNING,31737.551799999983,40.0,WARNING,31706.36
356,0.0,14388.48,146,2.596296296296296,1,ASD-MTB-GFL-AHU204,0.58,DIRTY,14380.839299999994,0.0,DIRTY,14388.48
268,0.0,2547.9,44,1.9230769230769231,10,ASD-MTB-FOF011-AHU043,15.56,DIRTY,2547.865799999996,23.0,DIRTY,2547.9
538,0.0,4187.639999999999,70,8.777777777777779,7,ASD-COB-GFL016-AHU091,2.41,WARNING,4193.0579000000025,0.0,WARNING,4187.639999999999
714,0.0,4595.84,40,18.4,1,ASD-COC-GFL005-AHU107,11.74,DAMAGED,4596.560300000003,32.0,DIRTY,4595.84
215,0.0,17668.4,24,6.554545454545455,9,ASD-MTB-FOF021-AHU186,2.75,DIRTY,17667.93989999999,20.0,DIRTY,17668.4
841,0.0,23325.71,94,7.971153846153846,4,ASD-COA-GFL003-AHU074,0.0,NOISY,23314.248999999974,0.0,NOISY,23325.71
210,0.0,14165.65,26,10.984848484848484,8,ASD-MTB-FOF011-AHU027,7.72,DAMAGED,14157.389000000017,0.0,DAMAGED,14165.65
37,2.0,367.08,7,3.0992063492063493,2,ASD-MTB-FOF010-AHU042,0.0,DIRTY,367.2948000000007,0.0,NOT WORKING,367.08
254,14.0,3661.78,43,6.803921568627451,10,ASD-MTB-FOF008-AHU062,0.0,NOISY,3662.1884000000055,0.0,NOT WORKING,3661.78
364,0.0,9701.48,104,3.946236559139785,1,ASD-MTB-FOF008-AHU016,1.69,WARNING,9701.814000000006,0.0,WARNING,9701.48
178,0.0,16520.93,19,5.774193548387097,8,ASD-MTB-FOF024-AHU193,0.0,DIRTY,16518.586999999992,0.0,DIRTY,16520.93
438,0.0,25819.74,42,10.03448275862069,9,ASD-MTB-GFL07A-AHU175,12.48,DAMAGED,25818.985300000037,42.0,LEAKAGE,25819.74
193,0.0,1356.24,16,7.654761904761905,7,ASD-COA-GFL004-AHU069,6.74,DIRTY,1356.4762000000014,0.0,DIRTY,1356.24
647,0.0,39137.8,62,10.59722222222222,10,ASD-MTB-GFL07A-AHU178,18.09,DAMAGED,39137.83919999994,1.0,DAMAGED,39137.8
329,0.0,30443.72,29,11.155172413793103,12,ASD-MTB-FOF024-AHU194,7.69,DAMAGED,30442.427300000032,0.0,DAMAGED,30443.72
16,3.0,572.16,9,6.803921568627451,2,ASD-MTB-FOF008-AHU062,0.0,DAMAGED,572.1541000000012,0.0,DIRTY,572.16
286,0.0,3119.92,25,8.340909090909092,10,ASD-COA-GFL003-AHU064,4.97,DIRTY,3119.8545999999997,0.0,DIRTY,3119.92
160,16.0,992.4,9,20.61111111111111,8,ASD-COC-TFL008-AHU152,0.0,WARNING,992.7556999999988,0.0,DAMAGED,992.4
346,4.0,26958.44,55,7.63953488372093,12,ASD-COB-GFL020-AHU081,0.0,DIRTY,26957.723399999955,0.0,DIRTY,26958.44
205,0.0,34338.96,51,4.9125,8,ASD-MTB-FOF008-AHU030,6.59,WARNING,34341.34180000002,0.0,WARNING,34338.96
197,0.0,21619.96,32,7.63953488372093,7,ASD-COB-GFL020-AHU081,2.56,WARNING,21609.73870000002,85.0,WARNING,21619.96
465,0.0,64776.1,91,4.746753246753247,6,ASD-MTB-GFL06A-AHU169,0.29,DIRTY,64879.490200000044,0.0,DIRTY,64776.1
52,0.0,4859.4,38,4.25,3,ASD-MTB-GFL006-AHU004,4.65,WARNING,4858.6348999999955,0.0,WARNING,4859.4
289,0.0,976.96,12,27.821428571428573,11,ASD-COC-TFL001-AHU155,28.45,DAMAGED,976.8028000000016,27.0,DAMAGED,976.96
811,4.0,24203.06,331,1.9230769230769231,4,ASD-MTB-FOF011-AHU043,0.0,NOT WORKING,24203.060000000045,0.0,NOT WORKING,24203.06
162,18.0,6134.25,59,3.946236559139785,6,ASD-MTB-FOF008-AHU016,0.0,WARNING,6133.602800000002,0.0,WARNING,6134.25
544,0.0,932.4,28,17.522727272727273,7,ASD-COC-GFL002-AHU101,27.52,DAMAGED,932.399999999999,29.0,LEAKAGE,932.4
80,29.0,5167.68,15,5.298611111111111,4,ASD-COC-GFL003-AHU119,0.0,WARNING,5157.795799999994,0.0,WARNING,5167.68
202,0.0,28433.0,44,7.688888888888889,8,ASD-MTB-FOF021-AHU038,9.84,WARNING,28432.927299999967,28.0,WARNING,28433.0
465,0.0,62545.89,107,4.3478260869565215,4,ASD-MTB-FOF008-AHU018,0.89,WARNING,62557.95120000003,0.0,WARNING,62545.89
505,0.0,68718.06,116,4.3478260869565215,5,ASD-MTB-FOF008-AHU018,15.21,DIRTY,68538.1039,0.0,DIRTY,68718.06
649,0.0,33342.64,77,7.06,10,ASD-MTB-FOF010-AHU032,2.4,DIRTY,33361.94359999997,0.0,DIRTY,33342.64
146,0.0,2365.96,20,5.768115942028985,6,ASD-COC-GFL008-AHU116,12.19,WARNING,2365.8893,0.0,WARNING,2365.96
77,34.0,0.0,7,17.522727272727273,3,ASD-COC-GFL002-AHU101,0.0,DAMAGED,0.0,0.0,LEAKAGE,0.0
40,0.0,3528.0599999999995,10,6.368421052631579,3,ASD-MTB-GFL06A-AHU170,10.18,DIRTY,3533.250900000003,0.0,DIRTY,3528.0599999999995
634,0.0,38085.54,110,5.140845070422535,10,ASD-MTB-FOF008-AHU014,2.16,DAMAGED,38089.381400000006,1.0,NOISY,38085.54
610,0.0,27625.06,67,8.763157894736842,10,ASD-MTB-FOF010-AHU058,1.59,DAMAGED,27626.76360000003,0.0,NOT WORKING,27625.06
464,0.0,25650.34,54,8.763157894736842,5,ASD-MTB-FOF010-AHU058,5.21,DIRTY,25652.101600000005,36.0,DIRTY,25650.34
766,0.0,24203.06,290,1.9230769230769231,2,ASD-MTB-FOF011-AHU043,0.36,NOT WORKING,24203.060000000045,0.0,NOT WORKING,24203.06
576,0.0,80458.4,90,6.554545454545455,9,ASD-MTB-FOF021-AHU186,6.42,DAMAGED,80459.68200000004,12.0,DAMAGED,80458.4
209,5.0,18104.38,71,2.9299065420560746,8,ASD-MTB-GFL007-AHU003,0.0,WARNING,18105.779999999955,0.0,WARNING,18104.38
231,0.0,28910.33,46,7.688888888888889,9,ASD-MTB-FOF021-AHU038,9.92,DIRTY,28915.49820000003,0.0,DIRTY,28910.33
59,0.0,21570.44,28,6.971698113207547,4,ASD-MTB-FOF009-AHU019,15.62,DIRTY,21576.285700000004,13.0,NO CONNECTION,21570.44
562,0.0,73776.84,123,5.298611111111111,7,ASD-COC-GFL003-AHU119,1.73,WARNING,73692.94410000001,0.0,WARNING,73776.84
334,0.0,2580.4,22,10.482142857142858,1,ASD-COB-GFL018-AHU088,16.45,LEAKAGE,2580.824899999996,32.0,DIRTY,2580.4
570,0.0,24927.5,70,7.63953488372093,8,ASD-COA-GFL001-AHU071,3.93,DAMAGED,24927.5,16.0,DIRTY,24927.5
105,105.0,8813.4,13,7.4222222222222225,5,ASD-MTB-FOF024-AHU057,0.0,WARNING,8814.054500000013,0.0,WARNING,8813.4
264,0.0,12983.16,31,8.320512820512821,9,ASD-MTB-FOF011-AHU033,0.39,DIRTY,12984.963599999986,0.0,DIRTY,12983.16
355,0.0,34323.36,66,5.298611111111111,1,ASD-COC-GFL003-AHU119,6.4,DIRTY,34327.81619999999,2.0,DAMAGED,34323.36
349,0.0,47664.14,52,7.269230769230769,2,ASD-MTB-GFL06A-AHU171,26.91,DIRTY,47662.5313,87.0,DIRTY,47664.14
566,0.0,78007.5,49,11.814814814814817,1,ASD-MTB-FOF06A-AHU174,7.41,DIRTY,78004.55080000004,0.0,NOISY,78007.5
